ticker_byma,nombre_empresa,puntaje_financiero,n_metricas,pe,ev_ebitda,roe,deuda_ebitda,crecimiento_ingresos
SMSN,Samsung Electronics Co. Ltd.,92.52,5,2.84,-0.67,0.31,0.1,1.3
HMY,Harmony Gold Mining Company Ltd.,92.05,5,7.14,0.31,0.48,0.21,0.49
KGC,Kinross Gold Corp,84.42,5,10.99,6.09,0.37,0.14,0.3
GFI,Gold Fields Ltd.,84.07,5,9.19,11.37,0.59,0.37,0.79
PBR,Petrobras (ADR),82.88,5,5.35,1.85,0.3,1.51,0.42
B,Barrick Gold Corp,82.54,5,11.29,6.21,0.27,0.36,0.44
PETR3,Petrobras - Petróleo Brasileiro S.A.,82.03,5,5.39,4.18,0.3,1.51,0.42
VIST,Vista Energy S.A.B. de C.V.,79.83,5,10.04,5.51,0.3,1.75,1.02
PDD,PDD HOLDINGS INC,78.76,5,8.39,-3.45,0.23,0.05,0.08
EQNR,Equinor Asa,78.24,5,12.14,5.41,0.21,0.77,0.37
UN,NU Holdings Ltd/Cayman Islands,74.97,3,20.03,,0.32,,0.52
SHEL,Royal Dutch Shell Plc,74.77,5,10.7,5.42,0.14,1.27,0.45
TCOM,TRIP.COM Group Ltd.,74.65,5,5.79,-1.34,0.2,1.85,0.17
MU,Micron Technology Inc,74.58,5,22.02,15.86,0.67,0.09,3.46
AEM,Agnico Eagle Mines Limited,74.4,5,17.15,9.68,0.23,0.03,0.35
PAAS,Pan American Silver Corp.,74.21,5,14.98,9.48,0.22,0.4,0.38
ITUB,Itaú Unibanco Holding S.A.,73.54,3,10.16,,0.21,,0.18
TSM,Taiwan Semiconductor Manufacturing,73.02,5,31.95,4.92,0.4,0.34,0.36
DECK,DECKERS OUTDOOR CORPORATION,73.01,5,11.56,7.5,0.43,0.36,0.06
GPRK,Geopark Ltd.,72.8,5,8.08,3.58,0.29,2.45,0.2
ADBE,Adobe Systems Incorporated,72.3,5,14.08,10.32,0.63,0.73,0.13
ITUB3,Banco Itaú Unibanco S.A,72.23,3,11.1,,0.21,,0.18
NEM,Newmont Corporation,72.19,5,15.99,7.64,0.26,0.33,0.15
UGP,Ultrapar Participações S.A.,70.47,5,11.64,2.23,0.2,2.14,0.22
PRIO3,Petro Rio S.A.,69.75,5,13.43,5.79,0.14,2.02,1.11
XP,XP Inc,69.5,3,10.03,,0.23,,0.11
GS,"The Goldman Sachs Group, Inc",69.48,3,15.9,,0.17,,0.42
TTE,TotalEnergies SE,69.42,5,11.5,6.01,0.14,1.59,0.28
JPM,J.P. Morgan & Chase Co.,69.19,3,15.27,,0.18,,0.3
NTES,"Netease, Inc",69.0,5,15.41,4.9,0.2,0.29,0.08
RIO,Rio Tinto Plc,68.79,5,13.54,7.95,0.19,1.0,0.16
HHPD,Hon Hai Precision Industry Co. Ltd.,68.62,5,7.27,0.38,0.13,3.23,0.41
RKLB,Rocket Lab Corp,68.53,3,,-235.83,-0.08,,0.62
HL,Hecla Mining Co .,68.52,5,23.83,13.23,0.22,0.02,0.52
ARCO,Arcos Dorados Holdings Inc.,68.46,5,6.51,5.9,0.36,3.59,0.14
PAGS,Pagseguro Digital Ltd,67.96,5,6.88,0.34,0.15,0.19,-0.0
ASR,"Grupo Aeroportuario Del Sureste , S.A.B. de C.V.",67.73,5,12.84,1.9,0.23,1.75,0.1
OXY,Occidental Petroleum Corp.,67.31,5,18.13,5.89,0.11,1.07,0.53
GOOGL,Alphabet Inc.,67.21,5,16.98,23.31,0.49,0.7,0.24
TEN,Tenaris,67.12,5,7.81,5.93,0.17,4.06,0.54
NVDA,Nvidia Corporation,67.1,5,27.63,26.02,1.17,0.19,1.06
ZM,Zoom Video Communications Inc.,67.08,5,8.87,15.52,0.32,0.05,0.05
RGTI,RIGETTI COMPUTING INC,66.96,3,,-54.0,-0.44,,1.85
ASTS,AST SpaceMobile Inc,66.94,3,,-47.14,-0.46,,26.27
ANF,Abercrombie & Fitch Co,66.9,5,12.55,7.45,0.41,1.4,0.05
PSX,Phillips 66,66.63,5,14.75,12.21,0.23,2.07,0.53
CDE,Coeur Mining Inc.,66.4,5,17.29,12.78,0.13,0.44,1.26
NMR,"Nomura Holdings, Inc",66.03,3,12.48,,0.11,,0.31
BMNR,"Bitmine Inmersion Technologies, Inc.",65.82,3,,-50.2,-1.51,,21.68
STNE,StoneCo Ltd,65.76,5,3.78,1.63,0.34,2.49,0.02
YELP,Yelp Inc.,65.69,5,10.28,5.74,0.18,0.6,0.01
ABEV,Ambev S.A.,65.58,5,15.1,1.19,0.18,0.11,0.0
BHP,Bhp Group Ltd,65.39,5,22.58,7.91,0.24,0.95,0.18
TIMB,Tim Participações S.A.,65.16,5,10.73,1.85,0.17,1.45,0.06
CAAP,Corporación America Airports S.A.,65.15,5,13.97,5.74,0.17,1.45,0.12
HUT,Hut 8 Mining Corp.,65.15,3,,-25.21,-0.43,,0.81
CVX,Chevron Corp.,64.55,5,20.62,8.96,0.12,0.73,0.54
ACN,Accenture,64.32,5,14.69,8.68,0.24,0.65,0.06
AXP,American Express Co,63.93,3,19.69,,0.34,,0.13
TIMS3,TIM S.A.,63.81,5,10.76,5.12,0.17,1.45,0.06
SCCO,Southern Copper Corp,63.73,5,29.05,16.63,0.5,0.87,0.41
SBS,Companhia de Saneamento Basico do Estado de Sao Paulo-Sabesp,63.04,5,11.26,3.48,0.19,3.4,0.14
XOM,Exxon Mobil Corporation,62.93,5,21.36,10.61,0.13,0.62,0.44
AKO.B,Embotelladora Andina S.A.,62.88,3,15.61,,0.24,,0.11
URBN,Urban Outfitters INC.,62.87,5,12.3,9.32,0.21,1.56,0.1
SCHW,Charles Schwab,62.73,3,19.54,,0.2,,0.21
SNOW,Snowflake Inc.,62.67,3,,-112.29,-0.48,,0.35
MFG,Mizuho Financial Group,62.63,3,15.68,,0.12,,0.35
BX,Blackstone Inc.,62.56,3,28.75,,0.31,,0.29
KB,Kb Financial Group Inc.,62.54,3,10.49,,0.1,,0.18
HSBC,Hsbc Holdings Plc,62.44,3,15.04,,0.13,,0.25
META,Meta Platforms Inc,61.57,5,24.39,15.26,0.3,1.02,0.28
HPQ,Hp Inc,61.37,4,13.54,8.23,,2.23,0.12
LREN3,Lojas Renner S.A.,61.36,5,7.66,5.27,0.14,1.41,0.01
UAL,United Airlines Holdings Inc.,61.34,5,10.27,7.43,0.23,4.75,0.16
CLS,CELESTICA INC,61.3,5,35.99,25.8,0.53,0.63,0.62
PYPL,"Paypal Holdings, Inc.",61.28,5,10.16,7.58,0.24,2.2,0.05
FSLR,First Solar Inc.,61.09,5,12.89,8.77,0.19,0.08,-0.04
VIV,Telefônica Brasil S.A.,61.01,5,14.81,1.5,0.1,0.99,0.08
DAL,Delta Air Lines,60.97,5,13.25,9.15,0.2,2.81,0.19
BA,The Boeing Company,60.91,4,75.7,-67.39,1.74,,0.08
BCS,Barclays Bank Plc,60.9,3,10.19,,0.1,,0.16
SONY,Sony Group Corporation,60.81,5,19.75,0.12,0.13,0.9,0.08
ABEV3,Ambev S.A.,60.73,5,15.17,8.46,0.18,0.11,0.0
BMY,Bristol-Myers Squibb Company,60.56,5,14.02,8.66,0.47,2.38,0.06
RBLX,Roblox Corp.,60.24,3,,-37.11,-4.32,,0.36
AMX,America Movil,60.19,5,12.97,2.36,0.22,2.18,0.03
ING,Ing Groep Nv,60.1,3,13.86,,0.17,,0.11
INFY,Infosys Limited,60.09,5,13.67,19.52,0.32,0.21,0.03
