ticker_byma,nombre_empresa,puntaje_financiero,n_metricas,pe,ev_ebitda,roe,deuda_ebitda,crecimiento_ingresos
SMSN,Samsung Electronics Co. Ltd.,92.52,5,2.84,-0.67,0.31,0.1,1.3
HMY,Harmony Gold Mining Company Ltd.,92.05,5,7.14,0.31,0.48,0.21,0.49
KGC,Kinross Gold Corp,84.42,5,10.99,6.09,0.37,0.14,0.3
GFI,Gold Fields Ltd.,84.07,5,9.19,11.37,0.59,0.37,0.79
PBR,Petrobras (ADR),82.88,5,5.35,1.85,0.3,1.51,0.42
B,Barrick Gold Corp,82.54,5,11.29,6.21,0.27,0.36,0.44
PETR3,Petrobras - Petróleo Brasileiro S.A.,82.03,5,5.39,4.18,0.3,1.51,0.42
VIST,Vista Energy S.A.B. de C.V.,79.83,5,10.04,5.51,0.3,1.75,1.02
PDD,PDD HOLDINGS INC,78.76,5,8.39,-3.45,0.23,0.05,0.08
EQNR,Equinor Asa,78.24,5,12.14,5.41,0.21,0.77,0.37
UN,NU Holdings Ltd/Cayman Islands,74.97,3,20.03,,0.32,,0.52
SHEL,Royal Dutch Shell Plc,74.77,5,10.7,5.42,0.14,1.27,0.45
TCOM,TRIP.COM Group Ltd.,74.65,5,5.79,-1.34,0.2,1.85,0.17
MU,Micron Technology Inc,74.58,5,22.02,15.86,0.67,0.09,3.46
AEM,Agnico Eagle Mines Limited,74.4,5,17.15,9.68,0.23,0.03,0.35
PAAS,Pan American Silver Corp.,74.21,5,14.98,9.48,0.22,0.4,0.38
ITUB,Itaú Unibanco Holding S.A.,73.54,3,10.16,,0.21,,0.18
TSM,Taiwan Semiconductor Manufacturing,73.02,5,31.95,4.92,0.4,0.34,0.36
DECK,DECKERS OUTDOOR CORPORATION,73.01,5,11.56,7.5,0.43,0.36,0.06
GPRK,Geopark Ltd.,72.8,5,8.08,3.58,0.29,2.45,0.2
